# id	sym	class  — مفتاحُ الأجوبة من الكاتالوج (FAISAL_IMAGE_PASS2/3) · لا يقرؤه البحث بل المُقيِّم وحدَه
real-TG_2046	TRUG	unknown
real-TG_1875	CDTG	intraday
real-TG_1928	LFS	daily_axis
real-TG_1858	NAMM	intraday
real-TG_2067	ENPH	daily_axis
real-TG_1937	ELAB	daily_axis
real-TG_2121	TRUG	intraday
real-TG_2024	EHGO	intraday
real-TG_1851	EZRA	daily_axis
real-TG_1807	LABT	intraday
real-TG_1806	MTEX	intraday
real-TG_2117	BETA	intraday
real-TG_1890	MWC	intraday
real-TG_1940	ADIL	daily_axis
real-TG_1931	ELAB	intraday
real-TG_2032	LNAI	daily_axis
real-TG_1925	AUUD	intraday
real-TG_2028	LNAI	intraday
real-TG_2076	WORX	unknown
real-TG_1872	YYAI	daily_axis
real-TG_2096	ELPW	unknown
real-TG_1848	TRUG	daily_axis
real-TG_2039	VMAR	unknown
real-TG_1930	ELAB	daily_axis
real-TG_2013	IXHL	unknown
real-TG_2012	ACCL	intraday
real-TG_1880	CDIO	unknown
real-TG_1997	ELAB	unknown
real-TG_2080	ELAB	daily_axis
real-TG_1834	SPRC	daily_axis
real-TG_1911	PRFX	intraday
real-TG_2100	NCT	intraday
real-TG_1835	LABT	intraday
real-TG_2022	GWAV	daily_axis
real-IMG_0141	JEM	intraday
real-TG_2029	LNAI	intraday
real-TG_2111	CIIT	unknown
real-TG_1965	PIII	intraday
real-TG_1961	PIII	intraday
real-TG_2011	ACCL	intraday
