# id	sym	class  — مفتاحُ الأجوبة من الكاتالوج (FAISAL_IMAGE_PASS2/3) · لا يقرؤه البحث بل المُقيِّم وحدَه
real2-IMG_8126	SVRE	daily_axis
real2-TG_1923	EHGO	daily_axis
real2-TG_1847	TRUG	daily_axis
real2-TG_1922	FRGT	unknown
real2-TG_1874	HTCR	daily_axis
real2-TG_2033	LNAI	daily_axis
real2-TG_2016	ENPH	daily_axis
real2-TG_1844	SPRC	daily_axis
real2-TG_2048	MTVA	daily_axis
real2-TG_1983	TLIH	daily_axis
real2-TG_2068	VMAR	daily_axis
real2-TG_1942	BIRD	unknown
real2-TG_2116	SVRE	daily_axis
real2-TG_2108	CLIR	daily_axis
real2-TG_1988	ELAB	daily_axis
real2-TG_1906	NCT	unknown
real2-TG_1939	NXTT	daily_axis
real2-TG_1918	CNMD	unknown
real2-TG_2079	FRSX	unknown
real2-TG_1981	TLIH	daily_axis
real2-TG_2062	ENPH	daily_axis
real2-TG_2094	ELPW	unknown
real2-TG_2009	HCAI	daily_axis
real2-TG_1986	CDIO	unknown
real2-TG_2025	GWAV	daily_axis
real2-TG_2090	CDIO	unknown
real2-TG_1936	ELAB	daily_axis
real2-TG_1822	EHGO	unknown
real2-TG_2069	VMAR	daily_axis
real2-TG_2127	ELAB	unknown
real2-TG_2105	GRI	daily_axis
real2-TG_1933	CDIO	unknown
real2-TG_1881	BNKK	daily_axis
real2-TG_1882	SMX	daily_axis
real2-TG_1820	LABT	daily_axis
real2-TG_1866	SPPL	daily_axis
real2-TG_2110	PPBT	unknown
real2-TG_2120	NEXR	daily_axis
real2-TG_1857	PIII	unknown
real2-TG_2095	ELPW	unknown
real2-TG_2122	TRUG	unknown
real2-TG_2088	CDIO	unknown
real2-TG_2014	IXHL	daily_axis
real2-TG_1859	EZRA	daily_axis
real2-TG_2124	RAYA	daily_axis
real2-TG_1910	ZNB	daily_axis
real2-TG_2126	PCLA	unknown
real2-TG_2078	FRSX	daily_axis
real2-TG_2045	TRUG	unknown
real2-TG_1992	ELAB	daily_axis
real2-TG_1888	GWAV	unknown
real2-TG_2109	CLIR	daily_axis
real2-TG_2060	LNAI	daily_axis
real2-TG_2114	PPBT	unknown
real2-TG_2115	TURB	unknown
real2-TG_1849	TRUG	unknown
real2-TG_2018	BJDX	daily_axis
real2-TG_1843	SPRC	unknown
real2-TG_2023	EHGO	daily_axis
real2-TG_1912	PRFX	daily_axis
real2-TG_1887	GWAV	unknown
real2-TG_1945	PRFX	daily_axis
real2-TG_1883	INHD	daily_axis
real2-TG_1877	YYAI	unknown
real2-TG_1929	ADIL	daily_axis
real2-TG_1871	SPPL	daily_axis
real2-TG_2030	GWAV	unknown
real2-TG_2050	ONCO	daily_axis
real2-TG_2112	FUBO	unknown
real2-TG_2098	ELPW	unknown
real2-TG_1869	GWAV	daily_axis
real2-TG_1972	VEEE	daily_axis
real2-TG_2017	ENPH	daily_axis
real2-TG_2005	SBDS	unknown
real2-TG_1924	ADIL	daily_axis
