symbol	line	date	method	fingerprint	max_diff	witness	run_id
NEXR	49	2026-04-01	indicator	MACD(10,20,3):-0.608 Signal:-0.579	0.001739		35439420955
NEXR	50	2026-04-01	indicator	MACD(10,20,3):-0.608 Signal:-0.579	0.001739	AGREE(tight)	35439420955
ALMU	105	2026-04-10	indicator	MACD(12,26,9):-1.15 Signal:-1.00	0.003272	AGREE(tight)	35439420955
NXTT	124	2026-01-22	indicator	RSI(14): 37.34 | MACD(10,20,3):-0.34 Signal:-0.30	0.003595		35439420955
NXTT	125	2026-01-22	indicator	RSI(14): 37.34 | MACD(10,20,3):-0.34 Signal:-0.30	0.003595	AGREE(tight)	35439420955
PRFX	261	2026-05-29	indicator	RSI 73.694	0.000144		35439420955
TRUG	41	2026-03-27	price	ah 4.5 (+0.67%)	0.001		35405360466
TURB	45	2026-04-02	price	spot 3.105 (+32.13%)	0.002		35405360466
GRI	74	2026-04-13	price	spot 2.145 (-12.45%)	0.001		35405360466
VEEE	240	2026-05-14	price	spot 6.21 (-13.15%)	0.004		35405360466
