line	images	symbol	date	date_source	frame	colour	role	level	auto_chart	raw
21	IMG_4685	ELAB			weekly	black	resistance	9.629	0	9.629/9.590(أسود)
21	IMG_4685	ELAB			weekly	black	resistance	9.59	0	9.629/9.590(أسود)
21	IMG_4685	ELAB			weekly	black	resistance	6.375	0	6.375(أسود)
21	IMG_4685	ELAB			weekly	blue	target_clean	5.103	0	5.103(أزرق)
21	IMG_4685	ELAB			weekly	black	resistance	3.836	0	3.836(أسود)
22	IMG_4685	ELAB			weekly	red	support	3.033	0	3.033(أحمر دعم)
22	IMG_4685	ELAB			weekly	black	resistance	2.132	0	2.132(أسود)
30	IMG_5954	SBDS			daily	black	resistance	4.284	0	4.284(أسود)
30	IMG_5954	SBDS			daily	blue	target_clean	3.759	0	3.759(أزرق)
30	IMG_5954	SBDS			daily	purple	bid_entry	3.308	0	3.308(بنفسجي)
30	IMG_5954	SBDS			daily	red	support	3.041	0	3.041(أحمر دعم)
40	IMG_6004/6005/6006	TRUG			daily	purple	bid_entry	6.91	0	6.910/6.516(بنفسجي)
40	IMG_6004/6005/6006	TRUG			daily	purple	bid_entry	6.516	0	6.910/6.516(بنفسجي)
40	IMG_6004/6005/6006	TRUG			daily	blue	target_clean	6.207	0	6.207(أزرق)
40	IMG_6004/6005/6006	TRUG			daily	black	resistance	5.928	0	5.928/5.389/5.096/4.887(أسود)
40	IMG_6004/6005/6006	TRUG			daily	black	resistance	5.389	0	5.928/5.389/5.096/4.887(أسود)
40	IMG_6004/6005/6006	TRUG			daily	black	resistance	5.096	0	5.928/5.389/5.096/4.887(أسود)
40	IMG_6004/6005/6006	TRUG			daily	black	resistance	4.887	0	5.928/5.389/5.096/4.887(أسود)
41	IMG_6004/6005/6006	TRUG			daily	red	support	4.47	0	4.470(أحمر)
41	IMG_6004/6005/6006	TRUG			daily	purple	bid_entry	4.159	0	4.159(بنفسجي)
41	IMG_6004/6005/6006	TRUG			daily	red	support	3.967	0	3.967(أحمر)
45	IMG_6215	TURB			daily	black	resistance	8.185	0	8.185(أسود)
45	IMG_6215	TURB			daily	blue	target_clean	6.532	0	6.532(أزرق)
45	IMG_6215	TURB			daily	blue	target_clean	4.735	0	4.735(أزرق)
45	IMG_6215	TURB			daily	purple	bid_entry	3.79	0	3.790(بنفسجي)
45	IMG_6215	TURB			daily	red	support	2.819	0	2.819(أحمر)
49	IMG_6206	NEXR	2026-04-01	indicator	daily	purple	bid_entry	3.258	0	3.258(بنفسجي)
49	IMG_6206	NEXR	2026-04-01	indicator	daily	blue	target_clean	2.849	0	2.849(أزرق)
49	IMG_6206	NEXR	2026-04-01	indicator	daily	black	resistance	2.497	0	2.497/2.312(أسود)
49	IMG_6206	NEXR	2026-04-01	indicator	daily	black	resistance	2.312	0	2.497/2.312(أسود)
49	IMG_6206	NEXR	2026-04-01	indicator	daily	purple	bid_entry	2.021	0	2.021(بنفسجي)
50	IMG_6206	NEXR	2026-04-01	indicator	daily	green	unmapped	1.91	0	1.910(أخضر)
50	IMG_6206	NEXR	2026-04-01	indicator	daily	red	support	1.712	0	1.712(أحمر دعم)
57	IMG_6216	SVRE			daily	blue	target_clean	5.342	0	5.342/5.006/4.572/4.240(أزرق)
57	IMG_6216	SVRE			daily	blue	target_clean	5.006	0	5.342/5.006/4.572/4.240(أزرق)
57	IMG_6216	SVRE			daily	blue	target_clean	4.572	0	5.342/5.006/4.572/4.240(أزرق)
57	IMG_6216	SVRE			daily	blue	target_clean	4.24	0	5.342/5.006/4.572/4.240(أزرق)
57	IMG_6216	SVRE			daily	black	resistance	3.366	0	3.366(أسود)
57	IMG_6216	SVRE			daily	red	support	3.001	0	3.001(أحمر)
58	IMG_6216	SVRE			daily	black	resistance	2.703	0	2.703(أسود)
62	IMG_6297	CIIT			daily	blue	target_clean	2.737	0	2.737/2.381(أزرق)
62	IMG_6297	CIIT			daily	blue	target_clean	2.381	0	2.737/2.381(أزرق)
62	IMG_6297	CIIT			daily	purple	bid_entry	2.147	0	2.147(بنفسجي)
62	IMG_6297	CIIT			daily	black	resistance	1.951	0	1.951/1.704(أسود)
62	IMG_6297	CIIT			daily	black	resistance	1.704	0	1.951/1.704(أسود)
63	IMG_6297	CIIT			daily	red	support	1.389	0	1.389(أحمر)
67	IMG_6295/6298	PPBT			daily	blue	target_clean	6.093	0	6.093(أزرق)
67	IMG_6295/6298	PPBT			daily	black	resistance	5.659	0	5.659/5.384/5.127/4.722(أسود)
67	IMG_6295/6298	PPBT			daily	black	resistance	5.384	0	5.659/5.384/5.127/4.722(أسود)
67	IMG_6295/6298	PPBT			daily	black	resistance	5.127	0	5.659/5.384/5.127/4.722(أسود)
67	IMG_6295/6298	PPBT			daily	black	resistance	4.722	0	5.659/5.384/5.127/4.722(أسود)
67	IMG_6295/6298	PPBT			daily	blue	target_clean	4.563	0	4.563/4.301(أزرق)
67	IMG_6295/6298	PPBT			daily	blue	target_clean	4.301	0	4.563/4.301(أزرق)
68	IMG_6295/6298	PPBT			daily	red	support	4.0	0	4.000(أحمر)
68	IMG_6295/6298	PPBT			daily	purple	bid_entry	3.853	0	3.853/3.702(بنفسجي)
68	IMG_6295/6298	PPBT			daily	purple	bid_entry	3.702	0	3.853/3.702(بنفسجي)
68	IMG_6295/6298	PPBT			daily	red	support	3.604	0	3.604(أحمر)
73	IMG_6390	GRI			daily	black	resistance	5.356	0	5.356(أسود)
