date	sym	trig	tod	tier	j1	gap	exploded50	up5	up15	up30	up60	dn60	up_ext	t_peak	dd_pre_peak	t_hit10	t_stop	close_reg	pm_last
08-18	AIHS	قبل الشحن	reg	؟	؟	؟	لا	+1.1	+1.1	+1.1	+1.1	-15.3	+1.1	1	-0.1	—	—	-5.2	-13.4
08-18	AIXC	قبل الشحن	reg	؟	؟	؟	نعم	—	+48.7	+63.0	+147.9	+11.8	+163.9	79	+11.8	8	—	+10.1	-5.0
08-18	AUUD	قبل الشحن	reg	؟	؟	؟	لا	+3.8	+3.8	+3.8	+4.7	-1.0	+6.6	180	-1.0	—	—	+1.9	-2.9
08-18	BAOS	قبل الشحن	pre	؟	؟	؟	لا	+6.7	+6.7	+6.7	+6.7	-3.9	+8.1	282	-3.9	—	—	+7.2	+2.3
08-18	BIAF	قبل الشحن	pre	؟	؟	؟	لا	+15.3	+15.3	+23.4	+28.3	-2.0	+28.3	50	-2.0	2	—	-3.6	-13.1
08-18	CCHH	قبل الشحن	after	؟	؟	؟	لا	+7.1	+7.1	+7.1	+7.1	-1.4	+7.1	1	+2.4	—	—	—	+0.7
08-18	CMND	قبل الشحن	reg	؟	؟	؟	لا	-0.2	-0.2	-0.2	-0.2	-13.2	-0.2	1	-6.4	—	—	-11.6	-10.9
08-18	CNET	قبل الشحن	after	؟	؟	؟	لا	+5.6	+5.6	+5.6	+5.6	-19.3	+5.6	2	-2.5	—	—	—	-23.6
08-18	CRE	قبل الشحن	after	؟	؟	؟	لا	-0.9	-0.9	-0.9	-0.4	-10.7	+0.7	103	-10.7	—	—	—	-8.1
08-18	CXAI	قبل الشحن	after	؟	؟	؟	لا	+13.3	+13.3	+13.3	+13.3	-20.6	+13.3	5	-1.6	3	—	—	-27.4
08-18	DAIC	قبل الشحن	after	؟	؟	؟	لا	-2.3	-2.3	-2.3	-2.3	-31.8	-2.3	1	-25.4	—	—	—	-6.7
08-18	GNPX	قبل الشحن	reg	؟	؟	؟	لا	+2.1	+7.3	+7.3	+7.3	-6.6	+7.3	7	-2.7	—	—	-12.9	-14.4
08-18	HCWB	قبل الشحن	pre	؟	؟	؟	لا	+3.3	+3.3	+3.3	+3.3	-17.2	+14.2	374	-17.2	362	—	-19.1	-20.6
08-18	ICCM	قبل الشحن	reg	؟	؟	؟	لا	+1.6	+2.0	+2.0	+2.0	-1.6	+2.0	11	-1.6	—	—	-6.5	+1.3
08-18	LGHL	قبل الشحن	after	؟	؟	؟	لا	+6.0	+9.1	+9.1	+9.1	-11.6	+9.1	9	-4.7	—	—	—	-11.1
08-18	MSS	قبل الشحن	after	؟	؟	؟	لا	+2.5	+17.3	+23.5	+27.8	-8.6	+43.8	163	-8.6	11	—	—	+25.3
08-18	PBK	قبل الشحن	pre	؟	؟	؟	لا	+4.1	+4.1	+4.1	+4.1	-3.0	+4.1	1	-0.8	—	—	-4.1	-7.1
08-18	PFSA	قبل الشحن	pre	؟	؟	؟	نعم	+9.8	+16.1	+16.1	+16.1	-14.4	+197.8	719	-22.9	6	—	+143.3	+45.2
08-18	PSIG	قبل الشحن	reg	؟	؟	؟	لا	+28.9	+28.9	+28.9	+28.9	-6.2	+39.8	140	-6.2	2	—	+21.9	+21.1
08-18	SAGT	قبل الشحن	reg	؟	؟	؟	لا	+1.0	+1.0	+1.0	+1.0	-21.5	+1.0	1	-4.7	—	—	-14.1	-21.5
08-18	SGLY	قبل الشحن	pre	؟	؟	؟	نعم	+2.8	+8.5	+37.4	+85.5	-2.6	+85.5	42	-2.6	26	—	-34.0	-47.5
08-18	SILO	قبل الشحن	after	؟	؟	؟	لا	+1.1	+1.1	+1.1	+1.1	-24.6	+1.1	1	-13.6	—	—	—	-24.3
08-18	SLE	قبل الشحن	pre	؟	؟	؟	نعم	+79.4	+92.5	+119.6	+129.6	-1.6	+129.6	37	-1.6	2	—	+63.6	+59.2
08-18	SPRC	قبل الشحن	pre	؟	؟	؟	لا	-0.8	-0.8	-0.8	-0.8	-9.7	+7.2	292	-9.7	—	—	-8.2	—
08-18	TGL	قبل الشحن	after	؟	؟	؟	لا	+17.1	+23.4	+30.0	+30.0	-3.9	+30.0	21	-0.8	2	—	—	-10.2
08-18	TWG	قبل الشحن	after	؟	؟	؟	لا	+4.8	+4.8	+4.8	+4.8	-22.3	+4.8	3	-3.6	—	—	—	-33.7
08-18	WFF	قبل الشحن	pre	؟	؟	؟	لا	+3.7	+10.0	+10.0	+10.0	-10.7	+10.0	15	-10.7	—	—	-18.7	-23.7
08-18	WSHP	قبل الشحن	reg	؟	؟	؟	لا	+1.3	+1.3	+1.3	+1.3	-4.3	+1.3	1	+1.3	—	—	-3.0	—
08-19	AIXC	قبل الشحن	reg	؟	؟	؟	لا	+2.9	+11.1	+11.1	+11.1	-0.6	+26.7	328	-4.6	9	—	+20.5	+15.0
08-19	ARBK	قبل الشحن	reg	؟	؟	؟	لا	+3.0	+3.0	+3.0	+3.0	-2.1	+6.1	168	-3.1	—	—	-0.7	+2.1
08-19	AZI	قبل الشحن	pre	؟	؟	؟	نعم	+26.9	+43.5	+43.5	+43.5	-1.8	+94.5	518	-1.8	4	—	+51.9	+29.7
08-19	BAOS	قبل الشحن	pre	؟	؟	؟	لا	+3.2	+3.2	+3.2	+6.4	-1.3	+20.7	255	-1.3	191	—	+16.7	+20.7
08-19	BDRX	قبل الشحن	pre	؟	؟	؟	لا	+1.8	+1.8	+11.6	+11.6	-12.1	+11.6	20	-12.1	19	—	-12.1	-10.7
08-19	BIVI	قبل الشحن	after	؟	؟	≥30%	لا	+16.7	+16.7	+16.7	+16.7	-16.7	+16.7	5	-3.0	3	—	—	-8.3
08-19	BRNX	قبل الشحن	reg	؟	؟	؟	لا	+3.5	+3.5	+3.5	+3.5	-29.0	+3.5	2	-5.9	—	—	-20.7	-21.5
08-19	BTCT	قبل الشحن	reg	؟	؟	؟	نعم	+6.6	+15.0	+15.0	+15.0	-12.5	+256.6	324	-12.5	14	—	+37.5	+156.6
08-19	CDTG	قبل الشحن	reg	؟	؟	؟	نعم	-1.8	+9.1	+25.1	+45.8	-5.5	+202.9	295	-5.5	17	—	+9.1	+29.8
08-19	CHSN	قبل الشحن	reg	؟	؟	؟	لا	+3.4	+3.4	+3.4	+3.4	-4.7	+3.4	2	-0.0	—	—	+1.7	-5.2
08-19	CISS	قبل الشحن	reg	؟	؟	؟	نعم	+15.2	+44.8	+65.0	+65.0	-3.4	+65.0	19	+0.0	3	—	+8.8	-9.8
08-19	CODX	قبل الشحن	reg	؟	؟	؟	لا	+8.9	+11.9	+16.3	+16.3	+3.0	+16.3	25	+3.0	6	—	+6.9	+12.9
08-19	CXAI	قبل الشحن	reg	؟	؟	؟	لا	+1.5	+1.5	+1.5	+1.5	-4.0	+6.4	131	-4.0	—	—	+6.1	+2.4
08-19	EHGO	قبل الشحن	pre	؟	؟	؟	نعم	+5.0	+37.8	+37.8	+37.8	-2.2	+83.3	145	-2.2	8	—	-32.8	-28.9
08-19	ELAB	قبل الشحن	reg	؟	؟	؟	لا	+0.0	+0.0	+0.0	+0.0	-23.3	+0.0	1	-3.8	—	—	-26.4	-25.1
08-19	ELPW	قبل الشحن	pre	؟	؟	؟	لا	-0.7	-0.7	-0.7	-0.7	-6.6	+3.5	354	-8.7	—	—	-1.7	-0.7
08-19	EVAX	قبل الشحن	pre	؟	؟	؟	لا	+0.1	+0.1	+0.1	+0.1	-27.5	+5.4	557	-27.5	—	—	-16.3	-10.4
08-19	FEMY	قبل الشحن	pre	؟	؟	؟	نعم	+8.3	+52.8	+61.1	+61.1	-0.9	+61.1	29	-0.9	7	—	+17.0	+11.8
