date	sym	half	tod	tier	gap	trig	e5	alow	risk_pct	H0_out	H0_R	HN_out	HN_R	HN_t	HN_day	HC0_out	HC0_R	HX2_R	HD_R	mom_lvl	mom_out	mom_R
2026-08-18	AIHS	H1	reg	؟	؟	قبل الشحن	1.5823	1.4700	7.10	loss	-2.3169	loss	-2.3169	49.0	2026-08-18	loss	-2.3169	-2.3169	—	D0	window	0.5280
2026-08-18	AIXC	H1	reg	؟	؟	قبل الشحن	1.1900	0.9131	23.27	win	0.3453	window	0.3478	384.0	2026-08-18	window	0.3478	0.2070	—	D1	window	0.0942
2026-08-18	AUUD	H1	reg	؟	؟	قبل الشحن	1.0503	0.9999	4.80	window	0.3041	window	0.0118	344.0	2026-08-18	window	0.0118	-1.4587	—	D1	—	—
2026-08-18	BAOS	H1	pre	؟	؟	قبل الشحن	0.4577	0.5496	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	BIAF	H1	pre	؟	؟	قبل الشحن	0.4900	0.3999	18.39	win	0.4370	window	-0.2901	475.0	2026-08-18	window	-0.2901	-0.3151	—	D1	window	-0.4774
2026-08-18	CCHH	H1	after	؟	؟	قبل الشحن	1.4000	1.4887	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	CMND	H1	reg	؟	؟	قبل الشحن	2.2000	1.9050	13.41	loss	-1.1029	loss	-1.1029	101.0	2026-08-18	loss	-1.1029	-1.1029	—	D0	—	—
2026-08-18	CNET	H1	after	؟	؟	قبل الشحن	1.6100	1.5300	4.97	loss	-1.6254	loss	-1.6254	5.0	2026-08-19	—	—	-1.6254	-1.6254	D1	—	—
2026-08-18	CRE	H1	after	؟	؟	قبل الشحن	2.7000	2.6000	3.70	loss	-1.4458	loss	-1.4458	1.0	2026-08-19	—	—	-1.4458	-1.4458	D1	loss	-2.2356
2026-08-18	CXAI	H1	after	؟	؟	قبل الشحن	5.4380	4.7500	12.65	win	0.6351	loss	-1.1782	11.0	2026-08-19	—	—	-1.1782	-1.1782	D1	window	344.6552
2026-08-18	DAIC	H1	after	؟	؟	قبل الشحن	0.4693	0.4098	12.68	loss	-1.5861	loss	-1.5861	1.0	2026-08-19	—	—	-1.5861	-1.5861	D1	—	—
2026-08-18	GNPX	H1	reg	؟	؟	قبل الشحن	4.5000	4.2600	5.33	loss	-1.2987	loss	-1.2987	43.0	2026-08-18	loss	-1.2987	-1.2987	—	D1	window	-0.7967
2026-08-18	HCWB	H1	pre	؟	؟	قبل الشحن	2.6700	2.7100	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	ICCM	H1	reg	؟	؟	قبل الشحن	2.7950	2.7713	0.85	loss	-3.0317	loss	-3.0317	6.0	2026-08-18	loss	-3.0317	-3.0317	—	D1	—	—
2026-08-18	LGHL	H1	after	؟	؟	قبل الشحن	0.6414	0.6259	2.42	loss	-1.9084	loss	-1.9084	5.0	2026-08-19	—	—	-1.9084	-1.9084	D1	loss	-1.7491
2026-08-18	MSS	H1	after	؟	؟	قبل الشحن	1.6200	1.6000	1.23	loss	-3.0548	loss	-3.0548	1.0	2026-08-19	—	—	-3.0548	-3.0548	D1	loss	-2.7465
2026-08-18	PBK	H1	pre	؟	؟	قبل الشحن	0.4845	0.5142	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	PFSA	H1	pre	؟	؟	قبل الشحن	11.0200	8.6400	21.60	win	0.3721	loss	-1.0870	231.0	2026-08-18	loss	-1.0870	-1.0870	—	D1	window	0.4434
2026-08-18	PSIG	H1	reg	؟	؟	قبل الشحن	1.2800	1.3000	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	SAGT	H1	reg	؟	؟	قبل الشحن	0.8915	0.7639	14.31	loss	-1.3150	loss	-1.3150	10.0	2026-08-18	loss	-1.3150	-1.3150	—	D1	window	-0.4769
2026-08-18	SGLY	H1	pre	؟	؟	قبل الشحن	5.3000	6.0541	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-18	SILO	H1	after	؟	؟	قبل الشحن	3.5400	3.2500	8.19	loss	-1.3538	loss	-1.3538	1.0	2026-08-19	—	—	-1.3538	-1.3538	—	—	—
2026-08-18	SLE	H1	pre	؟	؟	قبل الشحن	3.2099	3.0000	6.54	win	1.2289	window	9.2727	411.0	2026-08-18	window	9.2727	7.9626	—	D1	loss	-1.7654
2026-08-18	SPRC	H1	pre	؟	؟	قبل الشحن	7.0900	6.6660	5.98	loss	-1.8056	loss	-1.8056	27.0	2026-08-18	loss	-1.8056	-1.8056	—	D1	—	—
2026-08-18	TGL	H1	after	؟	؟	قبل الشحن	3.3300	3.0300	9.01	win	0.8920	loss	-1.1677	68.0	2026-08-19	—	—	-1.1677	-1.1677	D3	—	—
2026-08-18	TWG	H1	after	؟	؟	قبل الشحن	1.6600	1.3000	21.69	window	-0.6553	loss	-1.1304	582.0	2026-08-19	—	—	-1.1304	-1.1304	D1	—	—
2026-08-18	WFF	H1	pre	؟	؟	قبل الشحن	2.7000	2.3000	14.81	window	-0.6119	loss	-1.1138	674.0	2026-08-18	loss	-1.1138	-1.1138	—	D1	window	2.1486
2026-08-18	WSHP	H1	reg	؟	؟	قبل الشحن	4.9200	4.6300	5.89	window	-0.8110	window	-0.8110	15.0	2026-08-18	window	-0.8110	-0.8110	—	D0	window	-0.0907
2026-08-19	AIXC	H1	reg	؟	؟	قبل الشحن	1.2782	1.1900	6.90	win	1.1645	window	2.6565	345.0	2026-08-19	window	2.6565	1.0986	—	D1	—	—
2026-08-19	ARBK	H1	reg	؟	؟	قبل الشحن	2.9511	2.9400	0.38	loss	-7.2031	loss	-7.2031	6.0	2026-08-19	loss	-7.2031	-7.2031	—	D0	—	—
2026-08-19	AZI	H1	pre	؟	؟	قبل الشحن	1.0798	1.3100	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	BAOS	H1	pre	؟	؟	قبل الشحن	0.4457	0.4350	2.40	window	1.0369	window	6.0853	386.0	2026-08-19	window	6.0853	1.4866	—	D1	loss	-1.7055
2026-08-19	BDRX	H1	pre	؟	؟	قبل الشحن	1.4340	1.5000	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	BIVI	H1	after	؟	؟	قبل الشحن	1.6800	1.3900	17.26	win	0.4655	window	0.5062	1413.0	2026-08-20	—	—	0.9464	0.5062	D1	loss	-1.2205
2026-08-19	BRNX	H1	reg	؟	؟	قبل الشحن	3.7200	3.1900	14.25	loss	-1.4527	loss	-1.4527	3.0	2026-08-19	loss	-1.4527	-1.4527	—	D1	window	-0.2783
2026-08-19	BTCT	H1	reg	؟	؟	قبل الشحن	0.6001	0.5392	10.15	win	0.7918	loss	-1.1863	36.0	2026-08-19	loss	-1.1863	-1.1863	—	D0	window	6.7076
2026-08-19	CDTG	H1	reg	؟	؟	قبل الشحن	2.7500	2.7300	0.73	loss	-8.0025	loss	-8.0025	1.0	2026-08-19	loss	-8.0025	-8.0025	—	D1	loss	-5.0592
2026-08-19	CHSN	H1	reg	؟	؟	قبل الشحن	1.1601	1.1300	2.59	loss	-2.2945	window	-0.0389	18.0	2026-08-19	window	-0.0389	-2.2945	—	D0	loss	-2.1491
2026-08-19	CISS	H1	reg	؟	؟	قبل الشحن	2.9700	3.0300	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	CODX	H1	reg	؟	؟	قبل الشحن	1.0100	1.0490	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	CXAI	H1	reg	؟	؟	قبل الشحن	4.3250	4.0083	7.32	window	0.1283	window	0.5779	358.0	2026-08-19	window	0.5779	0.5779	—	D1	loss	-1.2180
2026-08-19	EHGO	H1	pre	؟	؟	قبل الشحن	1.8000	1.7600	2.22	win	3.6161	loss	-14.1673	276.0	2026-08-19	loss	-14.1673	-14.1673	—	D1	loss	-1.5930
2026-08-19	ELAB	H1	reg	؟	؟	قبل الشحن	0.7600	0.7300	3.95	loss	-1.6340	loss	-1.6340	3.0	2026-08-19	loss	-1.6340	-1.6340	—	D1	—	—
2026-08-19	ELPW	H1	pre	؟	؟	قبل الشحن	4.2300	3.9700	6.15	loss	-1.2418	loss	-1.2418	4.0	2026-08-19	loss	-1.2418	-1.2418	—	D1	—	—
2026-08-19	EVAX	H1	pre	؟	؟	قبل الشحن	3.7954	3.9000	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	FEMY	H1	pre	؟	؟	قبل الشحن	2.2900	2.1900	4.37	win	1.8402	window	3.4214	415.0	2026-08-19	window	3.4214	2.1692	—	D1	—	—
2026-08-19	FTFT	H1	after	؟	؟	قبل الشحن	1.0700	0.9647	9.84	loss	-1.2601	loss	-1.2601	1.0	2026-08-20	—	—	-1.2601	-1.2601	D1	—	—
2026-08-19	HUIZ	H1	pre	؟	؟	قبل الشحن	1.2800	1.3400	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	HYPD	H1	reg	؟	؟	قبل الشحن	3.0700	2.9200	4.89	window	0.0529	window	-0.5619	43.0	2026-08-19	window	-0.5619	0.8098	—	D0	window	0.9746
2026-08-19	INHD	H1	reg	؟	؟	قبل الشحن	8.4000	8.1325	3.18	loss	-2.5217	loss	-2.5217	43.0	2026-08-19	loss	-2.5217	-2.5217	—	D1	loss	-2.1323
2026-08-19	INLF	H1	pre	؟	؟	قبل الشحن	5.2110	5.2463	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	IVDA	H1	reg	؟	؟	قبل الشحن	0.3991	0.3828	4.08	loss	-1.4407	loss	-1.4407	3.0	2026-08-19	loss	-1.4407	-1.4407	—	D1	window	0.0437
2026-08-19	KWM	H1	pre	؟	؟	قبل الشحن	2.5211	2.7600	—	—	—	—	—	—	—	—	—	—	—	—	—	—
2026-08-19	LGCL	H1	reg	؟	؟	قبل الشحن	0.1398	0.1358	2.86	loss	-1.8726	loss	-1.8726	2.0	2026-08-19	loss	-1.8726	-1.8726	—	D0	loss	-1.8889
