row_id,year,symbol,date,source_row_number,categories,mg_outcome,entry,raw_pit_entry,effective_entry,fwd_max_gain,mg_pre_stop,Y_DISCOVERY,Y_TRADABLE
2025|ACIU|2025-04-28|row3,2025,ACIU,2025-04-28,3,RAW_PIT_ENTRY_MISSING|EFFECTIVE_ENTRY_LT_1_5,no_fill,1.47,,1.47,0.0,,False,False
2025|AIFF|2025-11-21|row4,2025,AIFF,2025-11-21,4,EFFECTIVE_ENTRY_LT_1_5,stopped,1.49,1.49,1.49,7.8,0.0,False,False
2025|AKBA|2025-12-01|row6,2025,AKBA,2025-12-01,6,RAW_PIT_ENTRY_MISSING,stopped,1.53,,1.53,12.8,12.8,False,False
2025|ALAR|2025-03-14|row7,2025,ALAR,2025-03-14,7,RAW_PIT_ENTRY_MISSING,survived,6.04,,6.04,37.5,37.5,False,False
2025|ALAR|2025-12-22|row8,2025,ALAR,2025-12-22,8,RAW_PIT_ENTRY_MISSING,stopped,7.42,,7.42,12.0,7.3,False,False
2025|AMBR|2025-11-07|row9,2025,AMBR,2025-11-07,9,RAW_PIT_ENTRY_MISSING,stopped,1.75,,1.75,80.6,3.7,True,False
2025|AOSL|2025-12-08|row10,2025,AOSL,2025-12-08,10,RAW_PIT_ENTRY_MISSING,no_fill,17.53,,17.53,0.0,,False,False
2025|ATOM|2025-08-28|row12,2025,ATOM,2025-08-28,12,RAW_PIT_ENTRY_MISSING,stopped,3.2,,3.2,67.2,67.2,True,True
2025|AUR|2025-12-01|row13,2025,AUR,2025-12-01,13,RAW_PIT_ENTRY_MISSING,no_fill,3.71,,3.71,0.0,,False,False
2025|AXGN|2025-06-25|row14,2025,AXGN,2025-06-25,14,RAW_PIT_ENTRY_MISSING,no_fill,9.5,,9.5,0.0,,False,False
2025|BMBL|2025-12-01|row16,2025,BMBL,2025-12-01,16,RAW_PIT_ENTRY_MISSING,no_fill,3.28,,3.28,0.0,,False,False
2025|BMGL|2025-10-20|row17,2025,BMGL,2025-10-20,17,EFFECTIVE_ENTRY_LT_1_5,stopped,17.67,1.4725,1.4725,5.9,4.6,False,False
2025|BRAG|2025-09-05|row18,2025,BRAG,2025-09-05,18,RAW_PIT_ENTRY_MISSING,stopped,2.67,,2.67,19.9,19.9,False,False
2025|BTDR|2025-12-22|row19,2025,BTDR,2025-12-22,19,RAW_PIT_ENTRY_MISSING,stopped,9.94,,9.94,1.3,0.0,False,False
2025|CLPT|2025-12-08|row21,2025,CLPT,2025-12-08,21,RAW_PIT_ENTRY_MISSING,survived,13.39,,13.39,23.8,23.8,False,False
2025|CNVS|2025-09-26|row23,2025,CNVS,2025-09-26,23,RAW_PIT_ENTRY_MISSING,stopped,3.3,,3.3,7.7,3.7,False,False
2025|CRNT|2025-03-14|row24,2025,CRNT,2025-03-14,24,RAW_PIT_ENTRY_MISSING,stopped,2.43,,2.43,2.9,0.8,False,False
2025|CRWV|2025-12-05|row25,2025,CRWV,2025-12-05,25,RAW_PIT_ENTRY_MISSING,survived,67.18,,67.18,70.4,70.4,True,True
2025|DOGZ|2025-05-12|row26,2025,DOGZ,2025-05-12,26,RAW_PIT_ENTRY_MISSING,stopped,14.53,,14.53,92.7,0.0,True,False
2025|DOGZ|2025-07-31|row27,2025,DOGZ,2025-07-31,27,RAW_PIT_ENTRY_MISSING,stopped,7.7,,7.7,115.4,115.4,True,True
2025|EVGO|2025-02-13|row28,2025,EVGO,2025-02-13,28,RAW_PIT_ENTRY_MISSING,stopped,2.75,,2.75,11.1,3.6,False,False
2025|EVGO|2025-12-01|row29,2025,EVGO,2025-12-01,29,RAW_PIT_ENTRY_MISSING,survived,2.86,,2.86,17.0,17.0,False,False
2025|FNGR|2025-08-21|row31,2025,FNGR,2025-08-21,31,RAW_PIT_ENTRY_MISSING|EFFECTIVE_ENTRY_LT_1_5,no_fill,1.4,,1.4,0.0,,False,False
2025|HFFG|2025-10-24|row34,2025,HFFG,2025-10-24,34,RAW_PIT_ENTRY_MISSING,stopped,2.39,,2.39,16.5,0.0,False,False
2025|HUMA|2025-03-21|row35,2025,HUMA,2025-03-21,35,MG_PRE_STOP_GT_FWD_MAX_GAIN|RAW_PIT_ENTRY_MISSING,stopped,2.83,,2.83,-16.7,0.0,False,False
2025|HUT|2025-04-11|row36,2025,HUT,2025-04-11,36,RAW_PIT_ENTRY_MISSING,no_fill,10.34,,10.34,0.0,,False,False
2025|INSG|2025-08-07|row39,2025,INSG,2025-08-07,39,RAW_PIT_ENTRY_MISSING,no_fill,6.46,,6.46,0.0,,False,False
2025|JANX|2025-12-30|row42,2025,JANX,2025-12-30,42,RAW_PIT_ENTRY_MISSING,stopped,14.17,,14.17,9.3,9.3,False,False
2025|JFIN|2025-11-07|row43,2025,JFIN,2025-11-07,43,RAW_PIT_ENTRY_MISSING,stopped,8.61,,8.61,2.6,0.0,False,False
2025|JSPR|2025-08-14|row44,2025,JSPR,2025-08-14,44,RAW_PIT_ENTRY_MISSING,stopped,2.52,,2.52,5.8,5.4,False,False
2025|LEE|2025-07-02|row46,2025,LEE,2025-07-02,46,RAW_PIT_ENTRY_MISSING,stopped,6.0,,6.0,2.4,0.0,False,False
2025|LFMD|2025-08-28|row47,2025,LFMD,2025-08-28,47,RAW_PIT_ENTRY_MISSING,survived,6.13,,6.13,19.4,19.4,False,False
2025|LITS|2025-10-03|row48,2025,LITS,2025-10-03,48,RAW_PIT_ENTRY_MISSING,stopped,2.35,,2.35,26.4,26.4,False,False
2025|LMB|2025-12-08|row49,2025,LMB,2025-12-08,49,RAW_PIT_ENTRY_MISSING,no_fill,67.03,,67.03,0.0,,False,False
2025|MBOT|2025-11-14|row50,2025,MBOT,2025-11-14,50,RAW_PIT_ENTRY_MISSING,stopped,2.0,,2.0,28.0,2.0,False,False
2025|MIND|2025-04-21|row51,2025,MIND,2025-04-21,51,RAW_PIT_ENTRY_MISSING,no_fill,4.58,,4.58,0.0,,False,False
2025|NEON|2025-12-01|row54,2025,NEON,2025-12-01,54,RAW_PIT_ENTRY_MISSING,stopped,1.97,,1.97,3.7,0.0,False,False
2025|NVAX|2025-04-21|row55,2025,NVAX,2025-04-21,55,RAW_PIT_ENTRY_MISSING,no_fill,5.16,,5.16,0.0,,False,False
2025|NVCR|2025-08-21|row56,2025,NVCR,2025-08-21,56,RAW_PIT_ENTRY_MISSING,no_fill,11.2,,11.2,0.0,,False,False
2025|PAYS|2025-09-05|row57,2025,PAYS,2025-09-05,57,RAW_PIT_ENTRY_MISSING,survived,5.09,,5.09,26.9,26.9,False,False
2025|PLCE|2025-03-14|row58,2025,PLCE,2025-03-14,58,RAW_PIT_ENTRY_MISSING,stopped,7.07,,7.07,11.8,0.0,False,False
2025|PRCH|2025-12-01|row60,2025,PRCH,2025-12-01,60,RAW_PIT_ENTRY_MISSING,stopped,9.07,,9.07,9.9,9.9,False,False
2025|PRTH|2025-12-01|row61,2025,PRTH,2025-12-01,61,RAW_PIT_ENTRY_MISSING,no_fill,4.57,,4.57,0.0,,False,False
2025|PTLO|2025-09-05|row62,2025,PTLO,2025-09-05,62,MG_PRE_STOP_GT_FWD_MAX_GAIN|RAW_PIT_ENTRY_MISSING,stopped,6.87,,6.87,-0.6,0.0,False,False
2025|QTTB|2025-01-15|row64,2025,QTTB,2025-01-15,64,RAW_PIT_ENTRY_MISSING,stopped,3.08,,3.08,16.2,16.2,False,False
2025|QTTB|2025-03-21|row65,2025,QTTB,2025-03-21,65,RAW_PIT_ENTRY_MISSING,stopped,1.85,,1.85,16.0,0.0,False,False
2025|QURE|2025-12-22|row66,2025,QURE,2025-12-22,66,RAW_PIT_ENTRY_MISSING,no_fill,19.87,,19.87,0.0,,False,False
2025|SKYE|2025-10-31|row67,2025,SKYE,2025-10-31,67,RAW_PIT_ENTRY_MISSING|EFFECTIVE_ENTRY_LT_1_5,stopped,1.35,,1.35,8.1,8.1,False,False
2025|STRZ|2025-11-24|row69,2025,STRZ,2025-11-24,69,RAW_PIT_ENTRY_MISSING,survived,9.9,,9.9,31.6,31.6,False,False
2025|TSSI|2025-12-22|row73,2025,TSSI,2025-12-22,73,RAW_PIT_ENTRY_MISSING,survived,7.13,,7.13,78.3,78.3,True,True
2025|TTD|2025-09-26|row74,2025,TTD,2025-09-26,74,RAW_PIT_ENTRY_MISSING,stopped,44.39,,44.39,3.6,2.5,False,False
2025|TTD|2025-12-22|row75,2025,TTD,2025-12-22,75,RAW_PIT_ENTRY_MISSING,stopped,36.72,,36.72,2.9,2.9,False,False
2025|VIR|2025-04-21|row80,2025,VIR,2025-04-21,80,RAW_PIT_ENTRY_MISSING,stopped,5.1,,5.1,10.9,9.2,False,False
2025|WOOF|2025-03-21|row84,2025,WOOF,2025-03-21,84,RAW_PIT_ENTRY_MISSING,no_fill,2.35,,2.35,0.0,,False,False
2025|WRD|2025-12-01|row85,2025,WRD,2025-12-01,85,RAW_PIT_ENTRY_MISSING,no_fill,7.02,,7.02,0.0,,False,False
2026|ABAT|2026-04-06|row2,2026,ABAT,2026-04-06,2,RAW_PIT_ENTRY_MISSING,no_fill,2.54,,2.54,0.0,,False,False
2026|APPS|2026-04-13|row5,2026,APPS,2026-04-13,5,RAW_PIT_ENTRY_MISSING,no_fill,2.82,,2.82,0.0,,False,False
2026|BBNX|2026-03-19|row7,2026,BBNX,2026-03-19,7,RAW_PIT_ENTRY_MISSING,stopped,10.21,,10.21,30.8,2.8,False,False
2026|BLZE|2026-02-20|row9,2026,BLZE,2026-02-20,9,RAW_PIT_ENTRY_MISSING,stopped,3.94,,3.94,8.8,2.5,False,False
2026|BTCS|2026-02-27|row10,2026,BTCS,2026-02-27,10,RAW_PIT_ENTRY_MISSING,stopped,1.5,,1.5,36.4,0.0,False,False
2026|BULL|2026-02-27|row12,2026,BULL,2026-02-27,12,RAW_PIT_ENTRY_MISSING,stopped,5.63,,5.63,33.5,14.7,False,False
2026|BYRN|2026-04-06|row13,2026,BYRN,2026-04-06,13,RAW_PIT_ENTRY_MISSING,stopped,9.01,,9.01,10.9,10.9,False,False
2026|CAR|2026-03-13|row14,2026,CAR,2026-03-13,14,RAW_PIT_ENTRY_MISSING,no_fill,88.54,,88.54,0.0,,False,False
2026|CLOV|2026-04-06|row15,2026,CLOV,2026-04-06,15,RAW_PIT_ENTRY_MISSING,no_fill,1.63,,1.63,0.0,,False,False
2026|CLPT|2026-04-06|row16,2026,CLPT,2026-04-06,16,RAW_PIT_ENTRY_MISSING,survived,8.86,,8.86,53.4,53.4,True,True
2026|CRBP|2026-01-07|row17,2026,CRBP,2026-01-07,17,RAW_PIT_ENTRY_MISSING,survived,7.86,,7.86,21.8,21.8,False,False
2026|CRVO|2026-02-20|row18,2026,CRVO,2026-02-20,18,RAW_PIT_ENTRY_MISSING,stopped,4.53,,4.53,13.0,0.0,False,False
2026|CYN|2026-02-27|row20,2026,CYN,2026-02-27,20,EFFECTIVE_ENTRY_LT_1_5,no_fill,1.37,1.37,1.37,0.0,,False,False
2026|DOGZ|2026-03-06|row21,2026,DOGZ,2026-03-06,21,RAW_PIT_ENTRY_MISSING|EFFECTIVE_ENTRY_LT_1_5,no_fill,1.05,,1.05,0.0,,False,False
2026|DWTX|2026-05-11|row22,2026,DWTX,2026-05-11,22,EFFECTIVE_ENTRY_LT_1_5,survived,1.32,1.32,1.32,9.8,9.8,False,False
2026|EOSE|2026-04-06|row24,2026,EOSE,2026-04-06,24,RAW_PIT_ENTRY_MISSING,survived,4.5,,4.5,122.0,122.0,True,True
2026|EVGO|2026-04-06|row25,2026,EVGO,2026-04-06,25,RAW_PIT_ENTRY_MISSING,no_fill,1.69,,1.69,0.0,,False,False
2026|GALT|2026-02-05|row28,2026,GALT,2026-02-05,28,RAW_PIT_ENTRY_MISSING,stopped,2.84,,2.84,23.1,23.1,False,False
2026|GEOS|2026-02-27|row29,2026,GEOS,2026-02-27,29,RAW_PIT_ENTRY_MISSING,survived,8.86,,8.86,22.5,22.5,False,False
2026|GNLX|2026-01-29|row30,2026,GNLX,2026-01-29,30,RAW_PIT_ENTRY_MISSING,stopped,2.59,,2.59,16.6,0.0,False,False
2026|HERE|2026-04-06|row31,2026,HERE,2026-04-06,31,RAW_PIT_ENTRY_MISSING,stopped,2.98,,2.98,2.8,0.0,False,False
2026|HIVE|2026-02-27|row32,2026,HIVE,2026-02-27,32,RAW_PIT_ENTRY_MISSING,stopped,2.05,,2.05,34.1,15.1,False,False
2026|HOOD|2026-02-27|row33,2026,HOOD,2026-02-27,33,RAW_PIT_ENTRY_MISSING,stopped,71.3,,71.3,30.9,4.6,False,False
2026|JANX|2026-01-07|row34,2026,JANX,2026-01-07,34,RAW_PIT_ENTRY_MISSING,stopped,13.66,,13.66,13.4,13.4,False,False
2026|JFIN|2026-01-07|row35,2026,JFIN,2026-01-07,35,RAW_PIT_ENTRY_MISSING,survived,5.9,,5.9,13.6,13.6,False,False
2026|LNSR|2026-04-13|row38,2026,LNSR,2026-04-13,38,RAW_PIT_ENTRY_MISSING,survived,5.49,,5.49,11.7,11.7,False,False
2026|MAZE|2026-04-27|row39,2026,MAZE,2026-04-27,39,RAW_PIT_ENTRY_MISSING,stopped,25.85,,25.85,9.0,9.0,False,False
2026|MLCI|2026-04-13|row41,2026,MLCI,2026-04-13,41,RAW_PIT_ENTRY_MISSING,stopped,3.38,,3.38,6.7,5.6,False,False
2026|MNKD|2026-04-06|row42,2026,MNKD,2026-04-06,42,RAW_PIT_ENTRY_MISSING,no_fill,2.3,,2.3,0.0,,False,False
2026|MTVA|2026-02-27|row43,2026,MTVA,2026-02-27,43,EFFECTIVE_ENTRY_LT_1_5,stopped,1.47,1.47,1.47,14.0,14.0,False,False
2026|NAGE|2026-02-27|row44,2026,NAGE,2026-02-27,44,RAW_PIT_ENTRY_MISSING,stopped,4.88,,4.88,18.4,18.4,False,False
2026|NNE|2026-04-08|row45,2026,NNE,2026-04-08,45,RAW_PIT_ENTRY_MISSING,no_fill,19.5,,19.5,0.0,,False,False
2026|OCC|2026-01-14|row46,2026,OCC,2026-01-14,46,RAW_PIT_ENTRY_MISSING,no_fill,4.14,,4.14,0.0,,False,False
2026|OLMA|2026-04-06|row47,2026,OLMA,2026-04-06,47,RAW_PIT_ENTRY_MISSING,stopped,13.38,,13.38,10.0,6.8,False,False
2026|ORGO|2026-04-13|row48,2026,ORGO,2026-04-13,48,RAW_PIT_ENTRY_MISSING,stopped,2.28,,2.28,22.3,19.9,False,False
2026|PAYS|2026-02-27|row49,2026,PAYS,2026-02-27,49,RAW_PIT_ENTRY_MISSING,survived,3.23,,3.23,102.6,102.6,True,True
2026|PCT|2026-03-20|row50,2026,PCT,2026-03-20,50,RAW_PIT_ENTRY_MISSING,survived,5.27,,5.27,152.0,152.0,True,True
2026|PEPG|2026-04-27|row51,2026,PEPG,2026-04-27,51,RAW_PIT_ENTRY_MISSING|EFFECTIVE_ENTRY_LT_1_5,survived,1.36,,1.36,44.0,44.0,False,False
2026|PGY|2026-03-06|row52,2026,PGY,2026-03-06,52,RAW_PIT_ENTRY_MISSING,survived,10.83,,10.83,43.8,43.8,False,False
2026|PLCE|2026-04-06|row53,2026,PLCE,2026-04-06,53,RAW_PIT_ENTRY_MISSING,survived,3.04,,3.04,77.0,77.0,True,True
2026|PONY|2026-04-09|row54,2026,PONY,2026-04-09,54,RAW_PIT_ENTRY_MISSING,survived,8.49,,8.49,32.9,32.9,False,False
2026|PRCH|2026-03-06|row55,2026,PRCH,2026-03-06,55,RAW_PIT_ENTRY_MISSING,no_fill,6.55,,6.55,0.0,,False,False
2026|PTON|2026-03-06|row56,2026,PTON,2026-03-06,56,RAW_PIT_ENTRY_MISSING,survived,3.86,,3.86,45.5,45.5,False,False
2026|QUBT|2026-04-13|row58,2026,QUBT,2026-04-13,58,RAW_PIT_ENTRY_MISSING,no_fill,6.37,,6.37,0.0,,False,False
2026|RAIL|2026-04-06|row59,2026,RAIL,2026-04-06,59,RAW_PIT_ENTRY_MISSING,survived,7.89,,7.89,10.5,6.3,False,False
2026|RGTI|2026-04-13|row60,2026,RGTI,2026-04-13,60,RAW_PIT_ENTRY_MISSING,no_fill,12.91,,12.91,0.0,,False,False
2026|SGHT|2026-03-27|row64,2026,SGHT,2026-03-27,64,RAW_PIT_ENTRY_MISSING,survived,3.51,,3.51,61.3,61.3,True,True
2026|SNWV|2026-04-13|row65,2026,SNWV,2026-04-13,65,RAW_PIT_ENTRY_MISSING,stopped,16.76,,16.76,19.8,19.8,False,False
2026|SOUN|2026-02-20|row66,2026,SOUN,2026-02-20,66,RAW_PIT_ENTRY_MISSING,stopped,7.25,,7.25,15.2,9.9,False,False
2026|SPRC|2026-01-07|row67,2026,SPRC,2026-01-07,67,EFFECTIVE_ENTRY_LT_1_5,stopped,11.59,1.2878,1.2878,8.7,0.0,False,False
