symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry
ABAT,2026-04-06,no_fill,no_fill,60,64,55,0.0,,False,2.54,
ABTC,2026-01-29,loss,stopped,50,37,55,0.4,0.0,False,22.87,1.5247
AGMH,2026-01-29,loss,stopped,50,96,80,7.7,2.4,False,1.68,1.68
APPS,2026-04-13,no_fill,no_fill,60,44,95,0.0,,False,2.82,
ARQQ,2026-02-27,loss,stopped,60,75,85,14.4,8.3,False,15.47,15.47
BBNX,2026-03-19,loss,stopped,80,14,75,30.8,2.8,False,10.21,
BIRD,2026-01-07,loss,stopped,65,25,90,11.7,11.7,False,3.98,3.98
BLZE,2026-02-20,loss,stopped,60,14,65,8.8,2.5,False,3.94,
BTCS,2026-02-27,loss,stopped,60,54,85,36.4,0.0,False,1.5,
BTOG,2026-02-27,loss,stopped,70,67,80,118.4,0.0,True,2.45,2.45
BULL,2026-02-27,win,stopped,60,43,60,33.5,14.7,False,5.63,
BYRN,2026-04-06,loss,stopped,60,23,80,10.9,10.9,False,9.01,
CAR,2026-03-13,no_fill,no_fill,55,5,70,0.0,,False,88.54,
CLOV,2026-04-06,no_fill,no_fill,55,18,60,0.0,,False,1.63,
CLPT,2026-04-06,win,survived,50,51,80,53.4,53.4,True,8.86,
CRBP,2026-01-07,win,survived,55,6,90,21.8,21.8,False,7.86,
CRVO,2026-02-20,loss,stopped,60,25,65,13.0,0.0,False,4.53,
CYCU,2026-03-02,loss,stopped,60,54,70,7.8,7.8,False,1.66,1.66
CYN,2026-02-27,no_fill,no_fill,70,74,100,0.0,,False,1.37,1.37
DOGZ,2026-03-06,no_fill,no_fill,65,62,90,0.0,,False,1.05,
DWTX,2026-05-11,open,survived,60,24,65,9.8,9.8,False,1.32,1.32
ENVB,2026-03-13,win,survived,60,68,80,320.6,320.6,True,1.87,1.87
EOSE,2026-04-06,win,survived,50,56,75,122.0,122.0,True,4.5,
EVGO,2026-04-06,no_fill,no_fill,70,39,75,0.0,,False,1.69,
FGNX,2026-03-20,loss,stopped,60,55,75,6.7,2.4,False,6.72,6.72
FRMM,2026-01-22,loss,stopped,60,44,100,7.4,4.5,False,4.84,4.84
GALT,2026-02-05,win,stopped,50,28,45,23.1,23.1,False,2.84,
GEOS,2026-02-27,open,survived,50,38,55,22.5,22.5,False,8.86,
GNLX,2026-01-29,loss,stopped,55,30,65,16.6,0.0,False,2.59,
HERE,2026-04-06,loss,stopped,50,67,65,2.8,0.0,False,2.98,
HIVE,2026-02-27,win,stopped,50,27,55,34.1,15.1,False,2.05,
HOOD,2026-02-27,loss,stopped,60,5,70,30.9,4.6,False,71.3,
JANX,2026-01-07,loss,stopped,65,5,95,13.4,13.4,False,13.66,
JFIN,2026-01-07,open,survived,70,29,70,13.6,13.6,False,5.9,
JL,2026-02-12,no_fill,no_fill,65,44,80,0.0,,False,1.54,1.54
KG,2026-01-14,no_fill,no_fill,55,25,60,0.0,,False,8.31,8.31
LNSR,2026-04-13,open,survived,65,6,80,11.7,11.7,False,5.49,
MAZE,2026-04-27,loss,stopped,65,15,85,9.0,9.0,False,25.85,
MCRB,2026-05-04,loss,stopped,50,68,70,18.4,15.4,False,6.76,6.76
MLCI,2026-04-13,loss,stopped,80,6,70,6.7,5.6,False,3.38,
MNKD,2026-04-06,no_fill,no_fill,80,5,80,0.0,,False,2.3,
MTVA,2026-02-27,win,stopped,60,53,55,14.0,14.0,False,1.47,1.47
NAGE,2026-02-27,win,stopped,60,18,50,18.4,18.4,False,4.88,
NNE,2026-04-08,no_fill,no_fill,70,77,90,0.0,,False,19.5,
OCC,2026-01-14,no_fill,no_fill,60,51,80,0.0,,False,4.14,
OLMA,2026-04-06,loss,stopped,65,51,95,10.0,6.8,False,13.38,
