symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi
ABTC,2025-12-30,loss,stopped,55,38,75,0.2,0.2,False,24.1,1.6067,88.3,900.0,1.7194180453410945,327,False,34.1
ACIU,2025-04-28,no_fill,no_fill,55,19,65,0.0,,False,1.47,,65.8,111.0,3.3940016348612407,,,
AIFF,2025-11-21,loss,stopped,80,43,80,7.8,0.0,False,1.49,1.49,90.8,399.0,2.1871553659618512,293,True,45.7
AIXC,2025-08-21,win,survived,60,21,70,430.7,430.7,True,1.66,1.66,83.1,161.0,2.8887525410649104,,,
AKBA,2025-12-01,win,stopped,50,5,45,12.8,12.8,False,1.53,,63.0,72.0,1.061653180325091,290,True,38.0
ALAR,2025-03-14,open,survived,70,43,65,37.5,37.5,False,6.04,,84.1,106.0,3.9245194876491536,303,False,50.3
ALAR,2025-12-22,loss,stopped,50,54,70,12.0,7.3,False,7.42,,58.0,106.0,1.419869221782625,295,False,41.2
AMBR,2025-11-07,loss,stopped,60,60,70,80.6,3.7,True,1.75,,86.7,170.0,1.1242606500372805,289,True,40.3
AOSL,2025-12-08,no_fill,no_fill,55,15,75,0.0,,False,17.53,,59.4,86.0,3.9673220224339825,,,
ARTL,2025-12-08,loss,stopped,60,50,85,19.9,13.1,False,4.7,1.5667,93.7,394.0,2.8483173803355335,276,False,50.9
ATOM,2025-08-28,win,stopped,50,39,60,67.2,67.2,True,3.2,,81.0,161.0,1.3720252930675272,290,True,50.4
AUR,2025-12-01,no_fill,no_fill,50,18,50,0.0,,False,3.71,,63.0,123.0,2.4033143283036997,,,
AXGN,2025-06-25,no_fill,no_fill,60,13,50,0.0,,False,9.5,,51.2,69.0,2.714782208199003,,,
BIRD,2025-09-12,win,survived,60,30,65,50.6,50.6,True,6.11,6.11,57.9,126.0,1.5627621416782225,260,True,48.0
BMBL,2025-12-01,no_fill,no_fill,70,13,80,0.0,,False,3.28,,59.3,61.0,2.27188487580538,,,
BMGL,2025-10-20,loss,stopped,60,34,85,5.9,4.6,False,17.67,1.4725,82.6,496.0,2.523592675348609,305,True,55.4
BRAG,2025-09-05,win,stopped,55,5,60,19.9,19.9,False,2.67,,56.5,65.0,1.2246456266577697,253,True,40.5
BTDR,2025-12-22,loss,stopped,50,46,65,1.3,0.0,False,9.94,,59.4,136.0,3.0285676722643706,333,False,62.6
CING,2025-03-21,win,survived,70,51,90,29.0,29.0,False,3.57,3.57,81.0,859.0,2.041305760583679,273,False,55.4
CLPT,2025-12-08,win,survived,60,56,100,23.8,23.8,False,13.39,,54.5,183.0,1.2153846153846148,310,True,47.6
CMMB,2025-09-26,open,survived,60,29,55,13.0,3.3,False,2.46,2.46,73.2,164.0,2.2756014412544676,266,True,52.2
CNVS,2025-09-26,loss,stopped,70,33,75,7.7,3.7,False,3.3,,54.5,185.0,2.348924553056029,274,True,50.3
CRNT,2025-03-14,loss,stopped,80,7,95,2.9,0.8,False,2.43,,52.4,94.0,2.763604295834716,308,False,67.1
CRWV,2025-12-05,win,survived,55,31,100,70.4,70.4,True,67.18,,52.8,218.0,4.725978651843078,339,False,70.4
DOGZ,2025-05-12,loss,stopped,60,50,75,92.7,0.0,True,14.53,,71.7,181.0,2.459341100098319,290,False,57.4
DOGZ,2025-07-31,win,stopped,50,47,65,115.4,115.4,True,7.7,,86.5,181.0,1.736109292804527,279,False,29.6
EVGO,2025-02-13,loss,stopped,55,42,85,11.1,3.6,False,2.75,,67.5,133.0,2.2480335687731547,320,True,41.6
EVGO,2025-12-01,open,survived,60,39,75,17.0,17.0,False,2.86,,56.6,133.0,1.895285892663384,322,False,53.1
FCEL,2025-05-05,win,survived,60,27,65,112.4,112.4,True,3.78,3.78,87.8,120.0,1.0357047519398799,330,False,36.1
FNGR,2025-08-21,no_fill,no_fill,80,35,100,0.0,,False,1.4,,69.2,260.0,2.588757651184928,,,
GOVX,2025-02-21,loss,stopped,60,44,85,22.0,0.0,False,38.62,1.5448,85.1,374.0,3.502040925219432,290,False,55.1
