symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
ABAT,2026-04-06,no_fill,no_fill,60,64,55,0.0,,False,2.54,,75.6,366.0,2.911048243118422,,,,,,,,,,,,,,2026-04-07,2026-06-02,True,2.8,2.5433333333333334,2.5433333333333334,1.0,frozen_no_split_events
ABTC,2026-01-29,loss,stopped,50,37,55,0.4,0.0,False,22.87,1.5247,89.5,900.0,1.7937142669882027,328,True,43.9,ok,2026-01-29,America/New_York,4h,1250,2025-10-01 04:00:00-04:00,2026-01-29 18:00:00-05:00,2025-10-01 04:00:00-04:00,2026-01-29 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-30,2026-03-27,True,1.54,22.866666666666664,1.5244444444444443,0.06666666666666667,corrected
AGMH,2026-01-29,loss,stopped,50,96,80,7.7,2.4,False,1.68,1.68,96.5,488.0,1.8281535154960205,271,False,41.0,ok,2026-01-29,America/New_York,4h,987,2025-10-01 05:00:00-04:00,2026-01-29 18:00:00-05:00,2025-10-01 04:00:00-04:00,2026-01-29 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-30,2026-03-27,True,1.76,1.6799999999999997,1.6799999999999997,1.0,no_post_signal_split
APPS,2026-04-13,no_fill,no_fill,60,44,95,0.0,,False,2.82,,64.6,261.0,1.2877115946318407,,,,,,,,,,,,,,2026-04-14,2026-06-09,True,2.93,2.8200000000000003,2.8200000000000003,1.0,frozen_no_split_events
ARQQ,2026-02-27,loss,stopped,60,75,85,14.4,8.3,False,15.47,15.47,73.5,404.0,2.4110836728700233,315,True,46.6,ok,2026-02-27,America/New_York,4h,1175,2025-10-30 04:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,16.459999,15.47,15.47,1.0,no_post_signal_split
BBNX,2026-03-19,loss,stopped,80,14,75,30.8,2.8,False,10.21,,67.0,76.0,1.7702945767197822,282,False,49.7,ok,2026-03-19,America/New_York,4h,915,2025-11-19 08:00:00-05:00,2026-03-19 18:00:00-04:00,2025-11-19 08:00:00-05:00,2026-03-19 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-20,2026-05-15,True,10.8,10.206666666666667,10.206666666666667,1.0,frozen_no_split_events
BIRD,2026-01-07,loss,stopped,65,25,90,11.7,11.7,False,3.98,3.98,65.4,126.0,4.428274923684646,263,False,58.6,ok,2026-01-07,America/New_York,4h,889,2025-09-09 08:00:00-04:00,2026-01-07 18:00:00-05:00,2025-09-09 08:00:00-04:00,2026-01-07 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-01-08,2026-03-06,True,4.44,3.9766666666666666,3.9766666666666666,1.0,no_post_signal_split
BLZE,2026-02-20,loss,stopped,60,14,65,8.8,2.5,False,3.94,,59.5,72.0,2.6132664252227142,270,False,55.6,ok,2026-02-20,America/New_York,4h,982,2025-10-23 04:00:00-04:00,2026-02-20 18:00:00-05:00,2025-10-23 04:00:00-04:00,2026-02-20 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-02-23,2026-04-20,True,4.4,3.943333333333333,3.943333333333333,1.0,frozen_no_split_events
BTCS,2026-02-27,loss,stopped,60,54,85,36.4,0.0,False,1.5,,80.9,314.0,1.6955330594631683,300,False,52.1,ok,2026-02-27,America/New_York,4h,1088,2025-10-30 04:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,1.6,1.5033333333333332,1.5033333333333332,1.0,frozen_no_split_events
BTOG,2026-02-27,loss,stopped,70,67,80,118.4,0.0,True,2.45,2.45,95.8,400.0,1.5215560521525442,297,False,40.1,ok,2026-02-27,America/New_York,4h,1067,2025-10-30 04:00:00-04:00,2026-02-27 17:00:00-05:00,2025-10-30 04:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,2.53,2.4499999999999997,2.4499999999999997,1.0,no_post_signal_split
