date	sym	anchor_ms	anchor_h	t_peak	peak_h	bucket	t_hit10	t_stop	hj_elig	hj
2026-09-02	VIVK	1788355800000	9.5000	1.0	9.5167	09:30-12		1.0	0	0
2026-09-03	KPLT	1788444900000	10.2500	231.0	14.1000	14-16	150.0		0	0
2026-09-03	OSRH	1788450360000	11.7667	96.0	13.3667	13-14	96.0		0	0
2026-09-03	PTLE	1788456900000	13.5833	31.0	14.1000	14-16			1	0
2026-09-04	BNR	1788541980000	13.2167	276.0	17.8167		148.0		1	1
2026-09-04	CDTG	1788529080000	9.6333	72.0	10.8333	09:30-12	72.0		0	0
2026-09-04	FXHO	1788535320000	11.3667	47.0	12.1500	12-13			0	0
2026-09-04	NIKI	1788532080000	10.4667	2.0	10.5000	09:30-12		17.0	0	0
2026-09-04	ZTG	1788528960000	9.6000	228.0	13.4000	13-14	49.0		0	0
2026-09-08	AIXI	1788876060000	10.0167	425.0	17.1000			3.0	0	0
2026-09-08	CDTG	1788874200000	9.5000	28.0	9.9667	09:30-12	28.0		0	0
2026-09-08	FAMI	1788874200000	9.5000	392.0	16.0333		212.0		0	0
2026-09-08	TANH	1788897420000	15.9500	39.0	16.6000		39.0		1	1
2026-09-09	BNR	1788969300000	11.9167	141.0	14.2667	14-16		1.0	0	0
2026-09-09	FTFT	1788965160000	10.7667	25.0	11.1833	09:30-12	20.0		0	0
2026-09-09	INDP	1788960600000	9.5000	84.0	10.9000	09:30-12	23.0		0	0
2026-09-09	LHSW	1788960960000	9.6000	126.0	11.7000	09:30-12	22.0		0	0
2026-09-09	PCLA	1788974820000	13.4500	6.0	13.5500	13-14			1	0
2026-09-09	SDA	1788980160000	14.9333	149.0	17.4167			1.0	1	0
2026-09-09	SGLY	1788977400000	14.1667	135.0	16.4167			5.0	1	0
2026-09-09	SUNE	1788970440000	12.2333	242.0	16.2667		148.0	1.0	1	0
2026-09-09	TNON	1788982320000	15.5333	180.0	18.5333			3.0	1	0
2026-09-09	YMAT	1788967800000	11.5000	328.0	16.9667			2.0	0	0
2026-09-09	ZTG	1788967800000	11.5000	13.0	11.7167	09:30-12	2.0		0	0
2026-09-10	AHMA	1789047060000	9.5167	2.0	9.5500	09:30-12			0	0
2026-09-10	ALP	1789061580000	13.5500	201.0	16.9000			21.0	1	0
2026-09-10	BYSI	1789055400000	11.8333	22.0	12.2000	12-13		356.0	0	0
2026-09-10	DBGI	1789049340000	10.1500	390.0	16.6500		11.0		0	0
2026-09-10	FNGR	1789055700000	11.9167	5.0	12.0000	12-13			0	0
2026-09-10	HCAI	1789048800000	10.0000	15.0	10.2500	09:30-12	7.0	337.0	0	0
2026-09-10	INDP	1789049400000	10.1667	119.0	12.1500	12-13		6.0	0	0
2026-09-10	REBN	1789052940000	11.1500	5.0	11.2333	09:30-12		1.0	0	0
2026-09-10	TANH	1789066680000	14.9667	2.0	15.0000	14-16		8.0	1	0
2026-09-10	TURB	1789054860000	11.6833	305.0	16.7667				0	0
2026-09-10	VIOT	1789047540000	9.6500	202.0	13.0167	13-14	202.0		0	0
2026-09-11	ADXN	1789156680000	15.9667						1	0
2026-09-11	AEHL	1789142400000	12.0000	85.0	13.4167	13-14		2.0	1	0
2026-09-11	AIXC	1789149060000	13.8500	119.0	15.8333	14-16		1.0	1	0
2026-09-11	CDTG	1789134480000	9.8000	18.0	10.1000	09:30-12	18.0	51.0	0	0
2026-09-11	CRMT	1789136580000	10.3833	38.0	11.0167	09:30-12	37.0	326.0	0	0
2026-09-11	EUDA	1789151100000	14.4167	7.0	14.5333	14-16			1	0
2026-09-11	GAUZ	1789150020000	14.1167	1.0	14.1333	14-16		1.0	1	0
2026-09-11	GNLN	1789153980000	15.2167	4.0	15.2833	14-16		4.0	1	0
2026-09-11	KPTI	1789155660000	15.6833	200.0	19.0167		1.0		1	1
2026-09-11	NCRA	1789155780000	15.7167	250.0	19.8833			1.0	1	0
2026-09-11	PSIG	1789139340000	11.1500	29.0	11.6333	09:30-12		208.0	0	0
2026-09-11	RDIB	1789156200000	15.8333	2.0	15.8667	14-16			1	0
2026-09-11	SGRX	1789136520000	10.3667	38.0	11.0000	09:30-12		1.0	0	0
2026-09-11	TANH	1789137000000	10.5000	3.0	10.5500	09:30-12		3.0	0	0
2026-09-11	UPC	1789147260000	13.3500	1.0	13.3667	13-14		2.0	1	0
2026-09-11	VMAR	1789135440000	10.0667	260.0	14.4000	14-16			0	0
2026-09-14	AIXC	1789394340000	9.9833	505.0	18.4000		170.0	5.0	0	0
2026-09-14	CTNT	1789404480000	12.8000	1.0	12.8167	12-13		8.0	1	0
2026-09-14	EUDA	1789401300000	11.9167	54.0	12.8167	12-13	51.0	146.0	0	0
2026-09-14	FTFT	1789392600000	9.5000	368.0	15.6333	14-16	1.0		0	0
2026-09-14	TRUG	1789400040000	11.5667	242.0	15.6000	14-16	132.0		0	0
2026-09-14	VEEA	1789401780000	12.0500	467.0	19.8333		1.0	15.0	1	0
2026-09-15	BDRX	1789479120000	9.5333	79.0	10.8500	09:30-12		20.0	0	0
2026-09-15	CDT	1789489080000	12.3000	141.0	14.6500	14-16			1	0
2026-09-15	CLNN	1789487640000	11.9000	2.0	11.9333	09:30-12			0	0
2026-09-15	GVH	1789484280000	10.9667	239.0	14.9500	14-16		13.0	0	0
2026-09-15	HQ	1789493400000	13.5000	56.0	14.4333	14-16	45.0		1	1
2026-09-15	IPW	1789486800000	11.6667	202.0	15.0333	14-16	41.0	7.0	0	0
2026-09-15	MEDS	1789488060000	12.0167	87.0	13.4667	13-14	50.0		1	0
2026-09-15	NAMI	1789491720000	13.0333	282.0	17.7333		222.0	45.0	1	0
2026-09-15	NEXR	1789493700000	13.5833	90.0	15.0833	14-16		3.0	1	0
2026-09-15	PDSB	1789479720000	9.7000	155.0	12.2833	12-13	6.0		0	0
2026-09-15	PFSA	1789502220000	15.9500	8.0	16.0833				1	0
2026-09-15	PHOE	1789482120000	10.3667	3.0	10.4167	09:30-12		4.0	0	0
2026-09-15	PN	1789501500000	15.7500	9.0	15.9000	14-16		1.0	1	0
2026-09-15	PTLE	1789481160000	10.1000	1.0	10.1167	09:30-12		12.0	0	0
2026-09-15	RETO	1789482900000	10.5833	326.0	16.0167		1.0		0	0
2026-09-15	UPLD	1789497480000	14.6333	117.0	16.5833			2.0	1	0
2026-09-15	VWAV	1789496040000	14.2333	1.0	14.2500	14-16		3.0	1	0
2026-09-15	ZSQR	1789502040000	15.9000	1.0	15.9167	14-16			1	0
